                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.703,                 6.3868,                 4.1954,                0.80664,                0.00176,                0.00049,                0.00014,                 3.7366,                 6.2217,                 4.1222,              0.0001744,              0.0001744,              0.0001744
                      2,                 3.4383,                 5.6687,                 3.7683,                0.54026,                0.01499,                 0.0027,                0.00085,                 3.3561,                 6.4304,                 3.5781,             0.00033242,             0.00033242,             0.00033242
                      3,                 3.0179,                 4.8222,                 3.2508,                0.49414,                0.01607,                0.01041,                0.00451,                 3.0661,                 5.1757,                 3.2714,             0.00047309,             0.00047309,             0.00047309
                      4,                  2.619,                 4.1364,                 2.8417,                0.17652,                0.04733,                0.02822,                0.01085,                 2.8763,                  5.198,                 3.0754,             0.00044789,             0.00044789,             0.00044789
                      5,                 2.3313,                 3.5025,                 2.5315,                0.73483,                0.05703,                0.04426,                 0.0223,                 2.6976,                 5.1437,                 2.8621,             0.00044789,             0.00044789,             0.00044789
                      6,                 2.0975,                  3.081,                 2.3022,                0.15149,                0.06354,                0.05592,                0.02921,                 2.5935,                 5.1757,                 2.7782,             0.00042185,             0.00042185,             0.00042185
                      7,                 1.9307,                 2.8054,                 2.1621,                0.31732,                0.06546,                0.06374,                0.03264,                  2.558,                 5.0665,                 2.7808,             0.00039581,             0.00039581,             0.00039581
                      8,                 1.8026,                 2.5997,                 2.0408,                0.30132,                0.07481,                0.06639,                 0.0346,                 2.4975,                 5.1367,                 2.6616,             0.00036978,             0.00036978,             0.00036978
                      9,                 1.6634,                 2.3709,                  1.904,                0.43856,                0.07905,                0.07307,                0.04037,                 2.5062,                 5.0346,                 2.6693,             0.00034374,             0.00034374,             0.00034374
                     10,                 1.5859,                 2.1737,                 1.8111,                0.23238,                0.08668,                  0.076,                0.04105,                 2.4372,                 5.3316,                 2.6137,              0.0003177,              0.0003177,              0.0003177
                     11,                 1.4179,                 2.0292,                 1.7092,                0.36731,                0.07737,                0.07018,                0.04113,                 2.5404,                 5.2527,                 2.6651,             0.00029167,             0.00029167,             0.00029167
                     12,                 1.3503,                 1.9023,                 1.6351,                0.26252,                0.08481,                0.08637,                0.05001,                 2.4976,                 5.1075,                   2.61,             0.00026563,             0.00026563,             0.00026563
                     13,                 1.3004,                  1.808,                 1.5712,                0.32002,                0.09435,                0.08223,                0.04587,                 2.4137,                 5.2754,                 2.5495,             0.00023959,             0.00023959,             0.00023959
                     14,                 1.2619,                 1.7407,                 1.5304,                0.25141,                0.09327,                 0.0844,                0.04692,                 2.4964,                 5.2342,                 2.6035,             0.00021356,             0.00021356,             0.00021356
                     15,                 1.2362,                 1.6492,                 1.4946,                0.26245,                0.08943,                0.08851,                0.05195,                 2.4457,                 5.2786,                 2.5497,             0.00018752,             0.00018752,             0.00018752
                     16,                 1.1958,                 1.5737,                 1.4496,                0.26269,                0.09385,                0.09344,                0.05574,                 2.4379,                 5.1186,                 2.5485,             0.00016148,             0.00016148,             0.00016148
                     17,                 1.1626,                 1.5142,                 1.4216,                0.27713,                0.09193,                 0.0951,                0.05521,                 2.4337,                 5.1109,                 2.5591,             0.00013544,             0.00013544,             0.00013544
                     18,                 1.1396,                 1.4705,                  1.412,                0.28324,                0.09034,                0.09224,                0.05485,                 2.4063,                 5.1643,                 2.5405,             0.00010941,             0.00010941,             0.00010941
                     19,                 1.1202,                 1.4391,                 1.3811,                 0.3287,                0.09283,                0.09027,                0.05244,                 2.4821,                 5.0764,                 2.5676,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     20,                 1.0845,                    1.4,                 1.3584,                0.26868,                0.10015,                0.09697,                0.05868,                 2.4074,                 5.1391,                  2.517,             5.7334e-05,             5.7334e-05,             5.7334e-05
